УКРАЇНА 45962947 45778534 45633637
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
74
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Свердловськ 66293 65868 65721
м. Червонопартизанськ 15928 15843 15749
смт Володарськ 2818 2796 2787
смт Калінінський 1739 1735 1723
смт Комсомольський 3126 3119 3137
смт Ленінське 3492 3446 3437
смт Павлівка 1067 1065 1071
смт Шахтарське 3654 3626 3632
Сільське населення 1796 1775 1767
Сєвєродонецьк (міськрада) 121788 120976 120264
Міське населення 120536 119703 119013
м. Сєвєродонецьк 111487 110612 109891
смт Борівське 5939 5949 5928
смт Воронове 831 839 850
смт Метьолкине 687 699 729
смт Сиротине 1592 1604 1615
Сільське населення 1252 1273 1251
Стаханов (міськрада) 94801 93749 92818
Міське населення 94801 93749 92818
м. Стаханов 79736 79010 78255
м. Алмазна 4444 4384 4363
м. Ірміно 10621 10355 10200
Антрацитівський район 32315 31850 31454
Міське населення 17548 17293 17123
смт Єсаулівка 1517 1506 1487
смт Іванівка 7421 7333 7310
смт Красний Кут 2619 2563 2506
смт Маломиколаївка 1778 1771 1750
смт Нижній Нагольчик 1685 1661 1656
смт Фащівка 2528 2459 2414
Сільське населення 14767 14557 14331
Біловодський район 24947 24760 24459
Міське населення 8348 8313 8224
смт Біловодськ 8348 8313 8224
Сільське населення 16599 16447 16235
Білокуракинський район 20385 20189 19858
Міське населення 8032 7944 7801
смт Білокуракине 7032 6944 6811
смт Лозно-Олександрівка 1000 1000 990
Сільське населення 12353 12245 12057
Краснодонський район 30441 30267 29983
Міське населення 10184 10161 10073
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
75
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Великий Лог 656 638 640
смт Мирне 404 396 376
смт Новоолександрівка 1612 1609 1591
смт Новосвітлівка 3726 3755 3736
смт Сімейкине 2355 2329 2303
смт Талове 1431 1434 1427
Сільське населення 20257 20106 19910
Кремінський район 43742 43066 42357
Міське населення 25661 25330 25008
м. Кремінна 21017 20735 20486
смт Красноріченське 4644 4595 4522
Сільське населення 18081 17736 17349
Лутугинський район 68821 68411 67977
Міське населення 50516 50217 49998
м. Лутугине 18241 18107 18078
смт Біле 6627 6593 6589
смт Білоріченський 3499 3443 3373
смт Врубівський 1357 1326 1314
смт Георгіївка 6467 6465 6488
смт Леніна 1091 1083 1074
смт Успенка 8986 8974 8926
смт Челюскінець 1149 1151 1145
смт Юр'ївка 3099 3075 3011
Сільське населення 18305 18194 17979
Марківський район 16413 16197 15991
Міське населення 6493 6421 6352
смт Марківка 6493 6421 6352
Сільське населення 9920 9776 9639
Міловський район 15914 15795 15696
Міське населення 5963 5975 5977
смт Мілове 5963 5975 5977
Сільське населення 9951 9820 9719
Новоайдарський район 25984 25779 25618
Міське населення 8639 8622 8595
смт Новоайдар 8639 8622 8595
Сільське населення 17345 17157 17023
Новопсковський район 35729 35549 35271
Міське населення 13945 13949 13902
смт Новопсков 9869 9900 9889
смт Білолуцьк 4076 4049 4013
Сільське населення 21784 21600 21369
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України
76
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Перевальський район 74077 73115 72387
Міське населення 69317 68469 67896
м. Перевальськ 26307 26132 26037
м. Артемівськ 7751 7616 7551
м. Зоринськ 7622 7532 7447
смт Байрачки 886 867 848
смт Бугаївка 3183 3194 3156
смт Городище 2664 2602 2546
смт Комісарівка 1854 1785 1770
смт Михайлівка 2534 2467 2452
смт Селезнівка 2580 2568 2551
смт Фащівка 4884 4845 4814
смт Центральний 864 847 835
смт Чорнухине 6275 6137 6043
смт Ящикове 1913 1877 1846
Сільське населення 4760 4646 4491
Попаснянський район 42344 41722 41232
Міське населення 32239 31833 31563
м. Попасна 22495 22211 22088
смт Білогорівка 987 976 966
смт Вовчоярівка 948 933 899
смт Врубівка 1042 1030 1021
смт Калинове 3211 3180 3143
смт Комишуваха 2346 2310 2272
смт Малорязанцеве 840 838 829
смт Мирна Долина 370 355 345
Сільське населення 10105 9889 9669
Сватівський район 38482 38034 37652
Міське населення 20811 20661 20560
м. Сватове 18558 18417 18339
смт Нижня Дуванка 2253 2244 2221
Сільське населення 17671 17373 17092
Свердловський район 12557 12374 12210
Міське населення 4125 4097 4059
смт Бірюкове 4125 4097 4059
Сільське населення 8432 8277 8151
Слов'яносербський район 56066 55919 55462
Міське населення 36292 36246 36024
м. Зимогір'я 10192 10148 10042
смт Слов'яносербськ 8060 8065 8083
смт Лозівський 5212 5146 5096
смт Лотикове 3158 3274 3247
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 77
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
смт Родакове 6316 6292 6274
смт Фрунзе 3354 3321 3282
Сільське населення 19774 19673 19438
Станично-Луганський район 49798 49734 49732
Міське населення 18688 18725 18734
смт Станиця Луганська 13675 13744 13734
смт Петрівка 5013 4981 5000
Сільське населення 31110 31009 30998
Старобільський район 49062 48263 47765
Міське населення 19113 18796 18614
м. Старобільськ 19113 18796 18614
Сільське населення 29949 29467 29151
Троїцький район 21738 21473 21205
Міське населення 8020 7975 7919
смт Троїцьке 8020 7975 7919
Сільське населення 13718 13498 13286
Львівська область 2549617 2544748 2540938
Міське населення 1547989 1546492 1544838
Сільське населення 1001628 998256 996100
Львів (міськрада) 761691 760026 758130
Міське населення 761691 760026 758130
м. Львів 733989 732009 729842
м. Винники 15457 15723 15976
смт Брюховичі 5834 5772 5725
смт Рудне 6411 6522 6587
Борислав (міськрада) 37281 37189 37143
Міське населення 37281 37189 37143
м. Борислав 35143 35040 34963
смт Східниця 2138 2149 2180
Дрогобич (міськрада) 99157 98737 98127
Міське населення 99157 98737 98127
м. Дрогобич 78024 77624 77142
м. Стебник 21133 21113 20985
м. Моршин 6135 6108 6064
м. Новий Розділ 28462 28554 28765
м. Самбір 35044 35054 34995
м. Стрий 60354 60267 60146
м. Трускавець 29797 29729 29623
Червоноград (міськрада) 82902 82756 82725
Міське населення 82902 82756 82725
м. Червоноград 68464 68308 68246
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 78
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Соснівка 11613 11588 11606
смт Гірник 2825 2860 2873
Бродівський район 60943 60483 60161
Міське населення 25993 25880 25828
м. Броди 23844 23752 23725
смт Підкамінь 2149 2128 2103
Сільське населення 34950 34603 34333
Буський район 46609 46481 46410
Міське населення 16114 16173 16219
м. Буськ 8342 8355 8414
смт Красне 6265 6308 6311
смт Олесько 1507 1510 1494
Сільське населення 30495 30308 30191
Городоцький район 69708 69472 69344
Міське населення 24179 24259 24295
м. Городок 15760 15825 15879
м. Комарно 3876 3884 3857
смт Великий Любінь 4543 4550 4559
Сільське населення 45529 45213 45049
Дрогобицький район 74329 74444 74530
Міське населення 6230 6323 6405
смт Меденичі 3342 3361 3379
смт Підбуж 2888 2962 3026
Сільське населення 68099 68121 68125
Жидачівський район 72405 71724 71146
Міське населення 29824 29754 29746
м. Жидачів 11274 11204 11203
м. Ходорів 9884 9900 9891
смт Гніздичів 4175 4183 4197
смт Журавне 3632 3611 3597
смт Нові Стрілища 859 856 858
Сільське населення 42581 41970 41400
Жовківський район 109345 109388 109266
Міське населення 38532 38509 38262
м. Жовква 13427 13455 13518
м. Дубляни 10945 10795 10417
м. Рава-Руська 8266 8328 8355
смт Куликів 3920 3963 3980
смт Магерів 1974 1968 1992
Сільське населення 70813 70879 71004
Золочівський район 70378 70166 69961
Міське населення 28424 28512 28618
м. Золочів 23817 23900 24059
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 79
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
м. Глиняни 3223 3242 3194
смт Поморяни 1384 1370 1365
Сільське населення 41954 41654 41343
Кам'янка-Бузький район 57633 57515 57410
Міське населення 22938 23012 23079
м. Кам'янка-Бузька 10914 10921 10934
смт Добротвір 6437 6457 6457
смт Запитів 2705 2730 2771
смт Новий Яричів 2882 2904 2917
Сільське населення 34695 34503 34331
Миколаївський район 63535 63382 63281
Міське населення 17510 17520 17511
м. Миколаїв 14778 14824 14845
смт Розділ 2732 2696 2666
Сільське населення 46025 45862 45770
Мостиський район 57495 57381 57403
Міське населення 15412 15529 15598
м. Мостиська 9013 9095 9162
м. Судова Вишня 6399 6434 6436
Сільське населення 42083 41852 41805
Перемишлянський район 40925 40403 40065
Міське населення 10695 10699 10677
м. Перемишляни 6946 6918 6871
м. Бібрка 3749 3781 3806
Сільське населення 30230 29704 29388
Пустомитівський район 111835 112361 112852
Міське населення 14726 14749 14791
м. Пустомити 9018 9016 9060
смт Щирець 5708 5733 5731
Сільське населення 97109 97612 98061
Радехівський район 48972 48740 48585
Міське населення 12840 12851 12926
м. Радехів 9456 9463 9563
смт Лопатин 3384 3388 3363
Сільське населення 36132 35889 35659
Самбірський район 69951 69700 69524
Міське населення 11289 11326 11356
м. Рудки 5345 5408 5415
смт Дубляни 1858 1848 1846
м. Новий Калинів 4086 4070 4095
Сільське населення 58662 58374 58168
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 80
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Сколівський район 47115 47198 47394
Міське населення 12866 12925 13026
м. Сколе 6244 6269 6306
смт Верхнє Синьовидне 3336 3348 3378
смт Славське 3286 3308 3342
Сільське населення 34249 34273 34368
Сокальський район 93983 93728 93628
Міське населення 34427 34440 34554
м. Сокаль 21355 21337 21406
м. Белз 2357 2359 2363
м. Великі Мости 6010 6037 6094
м. Угнів 1008 997 1008
смт Жвирка 3697 3710 3683
Сільське населення 59556 59288 59074
Старосамбірський район 78494 78236 78220
Міське населення 17925 17891 17964
м. Старий Самбір 6194 6266 6371
м. Добромиль 4585 4537 4494
м. Хирів 4132 4106 4097
смт Нижанковичі 1833 1824 1849
смт Стара Сіль 1181 1158 1153
Сільське населення 60569 60345 60256
Стрийський район 61971 62056 62090
Міське населення 2338 2333 2342
смт Дашава 2338 2333 2342
Сільське населення 59633 59723 59748
Турківський район 50424 50313 50303
Міське населення 8544 8576 8637
м. Турка 7077 7114 7182
смт Бориня 1467 1462 1455
Сільське населення 41880 41737 41666
Яворівський район 122744 123157 123647
Міське населення 56360 56811 57286
м. Яворів 12873 12948 12900
м. Новояворівськ 28516 28807 29225
смт Івано-Франкове 6160 6223 6271
смт Краковець 1110 1106 1117
смт Немирів 1968 1973 1984
смт Шкло 5733 5754 5789
Сільське населення 66384 66346 66361
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 81
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Миколаївська область 1189516 1183282 1178223
Міське населення 804735 800787 798114
Сільське населення 384781 382495 380109
м. Миколаїв 501183 498748 497032
м. Вознесенськ 37315 37049 36841
м. Очаків 14981 14834 14721
м. Первомайськ 67184 66965 66828
м. Южноукраїнськ 40027 40206 40530
Арбузинський район 21385 21109 20872
Міське населення 8882 8769 8684
смт Арбузинка 6513 6457 6407
смт Костянтинівка 2369 2312 2277
Сільське населення 12503 12340 12188
Баштанський район 38753 38683 38537
Міське населення 12654 12696 12657
м. Баштанка 12654 12696 12657
Сільське населення 26099 25987 25880
Березанський район 24010 23926 23841
Міське населення 4093 4118 4100
смт Березанка 4093 4118 4100
Сільське населення 19917 19808 19741
Березнегуватський район 21278 21170 21065
Міське населення 7747 7722 7724
смт Березнегувате 7747 7722 7724
Сільське населення 13531 13448 13341
Братський район 18910 18694 18538
Міське населення 5532 5456 5384
смт Братське 5532 5456 5384
Сільське населення 13378 13238 13154
Веселинівський район 24295 24113 23935
Міське населення 8408 8315 8271
смт Веселинове 6353 6238 6201
смт Кудрявцівка 2055 2077 2070
Сільське населення 15887 15798 15664
Вознесенський район 31790 31561 31441
Міське населення 5511 5465 5461
смт Олександрівка 5511 5465 5461
Сільське населення 26279 26096 25980
Врадіївський район 18666 18435 18194
Міське населення 8818 8669 8537
смт Врадіївка 8818 8669 8537
Сільське населення 9848 9766 9657
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 82
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Доманівський район 26469 26262 26121
Міське населення 6337 6288 6245
смт Доманівка 6337 6288 6245
Сільське населення 20132 19974 19876
Єланецький район 16134 16066 15983
Міське населення 5023 4969 4957
смт Єланець 5023 4969 4957
Сільське населення 11111 11097 11026
Жовтневий район 51668 51481 51349
Міське населення 7730 7687 7713
смт Воскресенське 4753 4756 4790
смт Первомайське 2977 2931 2923
Сільське населення 43938 43794 43636
Казанківський район 20876 20717 20536
Міське населення 7404 7343 7302
смт Казанка 7404 7343 7302
Сільське населення 13472 13374 13234
Кривоозерський район 25771 25680 25502
Міське населення 7972 7958 7953
смт Криве Озеро 7972 7958 7953
Сільське населення 17799 17722 17549
Миколаївський район 31440 31373 31193
Міське населення 3775 3775 3741
смт Ольшанське 3775 3775 3741
Сільське населення 27665 27598 27452
Новобузький район 32186 31946 31763
Міське населення 15807 15686 15573
м. Новий Буг 15807 15686 15573
Сільське населення 16379 16260 16190
Новоодеський район 34697 34499 34390
Міське населення 12520 12410 12347
м. Нова Одеса 12520 12410 12347
Сільське населення 22177 22089 22043
Очаківський район 16018 15966 15860
Сільське населення 16018 15966 15860
Первомайський район 31903 31665 31390
Міське населення 2190 2205 2195
смт Підгородна 2190 2205 2195
Сільське населення 29713 29460 29195
Снігурівський район 42577 42134 41761
Міське населення 13642 13454 13318
м. Снігурівка 13642 13454 13318
Сільське населення 28935 28680 28443
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 83
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Одеська область 2391022 2388670 2388297
Міське населення 1595142 1594814 1594978
Сільське населення 795880 793856 793319
м. Одеса 1010326 1009145 1008162
Білгород-Дністровський (міськрада) 57152 57208 57206
Міське населення 57152 57208 57206
м. Білгород-Дністровський 50262 50296 50263
смт Затока 1648 1637 1635
смт Сергіївка 5242 5275 5308
м. Ізмаїл 75787 74581 73651
Іллічівськ (міськрада) 70767 71231 71691
Міське населення 65736 66182 66563
м. Іллічівськ 58900 59229 59465
смт Олександрівка 6836 6953 7098
Сільське населення 5031 5049 5128
м. Котовськ 40569 40668 40700
м. Теплодар 10028 10081 10165
м. Южне 27895 29327 30857
Ананьївський район 28638 28284 28013
Міське населення 8713 8718 8659
м. Ананьїв 8713 8718 8659
Сільське населення 19925 19566 19354
Арцизький район 46572 46377 46213
Міське населення 15207 15229 15211
м. Арциз 15207 15229 15211
Сільське населення 31365 31148 31002
Балтський район 43776 43439 43081
Міське населення 19378 19353 19311
м. Балта 19378 19353 19311
Сільське населення 24398 24086 23770
Березівський район 34250 34052 34006
Міське населення 12377 12340 12377
м. Березівка 9790 9737 9753
смт Раухівка 2587 2603 2624
Сільське населення 21873 21712 21629
Білгород-Дністровський район 60111 60232 60378
Сільське населення 60111 60232 60378
Біляївський район 94256 93612 93242
Міське населення 14764 14570 14470
м. Біляївка 12380 12213 12127
смт Хлібодарське 2384 2357 2343
Сільське населення 79492 79042 78772
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 84
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Болградський район 69456 69384 69572
Міське населення 15470 15479 15629
м. Болград 15470 15479 15629
Сільське населення 53986 53905 53943
Великомихайлівський район 30993 30992 31013
Міське населення 8520 8507 8487
смт Велика Михайлівка 5762 5753 5701
смт Цебрикове 2758 2754 2786
Сільське населення 22473 22485 22526
Іванівський район 27039 26954 26828
Міське населення 8939 8883 8839
смт Іванівка 2690 2618 2558
смт Петрівка 4626 4647 4678
смт Радісне 1623 1618 1603
Сільське населення 18100 18071 17989
Ізмаїльський район 52148 52037 52031
Міське населення 4691 4665 4661
смт Суворове 4691 4665 4661
Сільське населення 47457 47372 47370
Кілійський район 54078 53782 53585
Міське населення 29542 29399 29290
м. Кілія 20932 20829 20755
м. Вилкове 8610 8570 8535
Сільське населення 24536 24383 24295
Кодимський район 30975 30666 30484
Міське населення 11402 11351 11367
м. Кодима 8958 8932 8925
смт Слобідка 2444 2419 2442
Сільське населення 19573 19315 19117
Комінтернівський район 69387 69368 69243
Міське населення 14292 14112 13886
смт Комінтернівське 6867 6863 6874
смт Нові Білярі 634 478 249
смт Чорноморське 6791 6771 6763
Сільське населення 55095 55256 55357
Котовський район 28340 28099 28018
Сільське населення 28340 28099 28018
Красноокнянський район 20686 20556 20433
Міське населення 5421 5399 5361
смт Красні Окни 5421 5399 5361
Сільське населення 15265 15157 15072
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 85
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Любашівський район 31298 31161 31089
Міське населення 11051 11056 11089
смт Любашівка 9428 9429 9481
смт Зеленогірське 1623 1627 1608
Сільське населення 20247 20105 20000
Миколаївський район 16909 16720 16599
Міське населення 3024 2972 2928
смт Миколаївка 3024 2972 2928
Сільське населення 13885 13748 13671
Овідіопольський район 69167 70554 72097
Міське населення 29926 30354 30721
смт Овідіополь 11612 11741 11855
смт Авангард 2927 2984 3044
смт Великодолинське 12873 13036 13149
смт Таїрове 2514 2593 2673
Сільське населення 39241 40200 41376
Ренійський район 37953 37965 37986
Міське населення 19477 19488 19553
м. Рені 19477 19488 19553
Сільське населення 18476 18477 18433
Роздільнянський район 57154 57498 57677
Міське населення 25051 25232 25248
м. Роздільна 17832 17931 17894
смт Лиманське 7219 7301 7354
Сільське населення 32103 32266 32429
Савранський район 20067 19858 19740
Міське населення 6629 6616 6594
смт Саврань 6629 6616 6594
Сільське населення 13438 13242 13146
Саратський район 46278 45994 45813
Міське населення 4642 4550 4453
смт Сарата 4642 4550 4453
Сільське населення 41636 41444 41360
Тарутинський район 42182 42035 41975
Міське населення 12968 12985 13009
смт Тарутине 5997 6055 6073
смт Березине 3505 3483 3502
смт Бородіно 1674 1661 1631
смт Серпневе 1792 1786 1803
Сільське населення 29214 29050 28966
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 86
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Татарбунарський район 39213 39160 39164
Міське населення 10808 10881 10974
м. Татарбунари 10808 10881 10974
Сільське населення 28405 28279 28190
Фрунзівський район 20057 20104 20091
Міське населення 8556 8644 8697
смт Фрунзівка 5121 5174 5181
смт Затишшя 3435 3470 3516
Сільське населення 11501 11460 11394
Ширяївський район 27515 27546 27494
Міське населення 6801 6839 6860
смт Ширяєве 6801 6839 6860
Сільське населення 20714 20707 20634
Полтавська область 1499567 1487751 1477195
Міське населення 912485 908336 904846
Сільське населення 587082 579415 572349
м. Полтава 300501 298871 297589
Комсомольськ (міськрада) 54439 54348 54293
Міське населення 51959 51866 51743
м. Комсомольск 51959 51866 51743
Сільське населення 2480 2482 2550
м. Кременчук 227611 226976 226434
м. Лубни 48496 48122 47881
м. Миргород 41374 41239 41240
Великобагачанський район 26750 26436 26138
Міське населення 8397 8412 8410
смт Велика Багачка 5790 5797 5799
смт Гоголеве 2607 2615 2611
Сільське населення 18353 18024 17728
Гадяцький район 57110 56711 56185
Міське населення 24031 24132 24200
м. Гадяч 24031 24132 24200
Сільське населення 33079 32579 31985
Глобинський район 49097 47975 46868
Міське населення 17836 17459 17094
м. Глобине 10708 10487 10254
смт Градизьк 7128 6972 6840
Сільське населення 31261 30516 29774
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 87
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Гребінківський район 23673 23408 23231
Міське населення 11022 10994 10990
м. Гребінка 11022 10994 10990
Сільське населення 12651 12414 12241
Диканський район 19866 19656 19465
Міське населення 7993 7934 7871
смт Диканька 7993 7934 7871
Сільське населення 11873 11722 11594
Зіньківський район 37193 36778 36396
Міське населення 15647 15578 15507
м. Зіньків 10043 10042 10009
смт Опішня 5604 5536 5498
Сільське населення 21546 21200 20889
Карлівський район 36957 36303 35558
Міське населення 16175 15863 15501
м. Карлівка 16175 15863 15501
Сільське населення 20782 20440 20057
Кобеляцький район 45805 45164 44498
Міське населення 15781 15639 15510
м. Кобеляки 10484 10379 10250
смт Білики 5297 5260 5260
Сільське населення 30024 29525 28988
Козельщинський район 21036 20742 20520
Міське населення 6250 6209 6158
смт Козельщина 3895 3880 3850
смт Нова Галещина 2355 2329 2308
Сільське населення 14786 14533 14362
Котелевський район 20193 20045 19953
Міське населення 12472 12427 12459
смт Котельва 12472 12427 12459
Сільське населення 7721 7618 7494
Кременчуцький район 41344 40963 40586
Сільське населення 41344 40963 40586
Лохвицький район 45962 45450 44964
Міське населення 20718 20689 20593
м. Лохвиця 11962 11965 11939
м. Червонозаводське 8756 8724 8654
Сільське населення 25244 24761 24371
Лубенський район 34426 33942 33531
Сільське населення 34426 33942 33531
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 88
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Машівський район 20486 20337 20129
Міське населення 3855 3845 3839
смт Машівка 3855 3845 3839
Сільське населення 16631 16492 16290
Миргородський район 34833 34369 34007
Міське населення 5349 5318 5278
смт Комишня 2356 2345 2341
смт Ромодан 2993 2973 2937
Сільське населення 29484 29051 28729
Новосанжарський район 36374 36067 35788
Міське населення 8356 8491 8505
смт Нові Санжари 8356 8491 8505
Сільське населення 28018 27576 27283
Оржицький район 25597 25325 25132
Міське населення 5476 5458 5468
смт Оржиця 3585 3573 3556
смт Новооржицьке 1891 1885 1912
Сільське населення 20121 19867 19664
Пирятинський район 33419 33127 32796
Міське населення 16264 16146 16086
м. Пирятин 16264 16146 16086
Сільське населення 17155 16981 16710
Полтавський район 66621 66623 66638
Сільське населення 66621 66623 66638
Решетилівський район 27345 27121 26973
Міське населення 9404 9376 9400
смт Решетилівка 9404 9376 9400
Сільське населення 17941 17745 17573
Семенівський район 27549 27198 26896
Міське населення 6636 6552 6493
смт Семенівка 6636 6552 6493
Сільське населення 20913 20646 20403
Хорольський район 37083 36674 36272
Міське населення 13785 13720 13631
м. Хорол 13785 13720 13631
Сільське населення 23298 22954 22641
Чорнухинський район 12680 12440 12215
Міське населення 2699 2662 2649
смт Чорнухи 2699 2662 2649
Сільське населення 9981 9778 9566
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 89
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Чутівський район 24145 23965 23793
Міське населення 9658 9640 9615
смт Чутове 6264 6272 6277
смт Артемівка 3394 3368 3338
Сільське населення 14487 14325 14178
Шишацький район 21602 21376 21226
Міське населення 4740 4718 4702
смт Шишаки 4740 4718 4702
Сільське населення 16862 16658 16524
Рівненська область 1151624 1152526 1154256
Міське населення 550234 551155 552271
Сільське населення 601390 601371 601985
м. Рівне 249582 249840 250174
м. Дубно 38053 38037 38011
м. Кузнецовськ 40872 41190 41273
м. Острог 15429 15528 15569
Березнівський район 62768 62749 62982
Міське населення 15446 15426 15410
м. Березне 13396 13390 13372
смт Соснове 2050 2036 2038
Сільське населення 47322 47323 47572
Володимирецький район 61215 61713 62242
Міське населення 12166 12198 12314
смт Володимирець 8829 8857 8932
смт Рафалівка 3337 3341 3382
Сільське населення 49049 49515 49928
Гощанський район 36040 35913 35803
Міське населення 5340 5360 5361
смт Гоща 5340 5360 5361
Сільське населення 30700 30553 30442
Демидівський район 15049 14897 14821
Міське населення 2612 2593 2584
смт Демидівка 2612 2593 2584
Сільське населення 12437 12304 12237
Дубенський район 45951 45784 45773
Міське населення 2647 2654 2681
смт Смига 2647 2654 2681
Сільське населення 43304 43130 43092
Дубровицький район 48407 48323 48252
Міське населення 9383 9430 9424
м. Дубровиця 9383 9430 9424
Сільське населення 39024 38893 38828
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 90
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
Зарічненський район 34881 34921 34949
Міське населення 7005 7045 7130
смт Зарічне 7005 7045 7130
Сільське населення 27876 27876 27819
Здолбунівський район 56920 56801 56812
Міське населення 28116 28087 28073
м. Здолбунів 24549 24537 24527
смт Мізоч 3567 3550 3546
Сільське населення 28804 28714 28739
Корецький район 34959 34589 34317
Міське населення 7543 7428 7421
м. Корець 7543 7428 7421
Сільське населення 27416 27161 26896
Костопільський район 64263 64424 64682
Міське населення 30850 31155 31437
м. Костопіль 30850 31155 31437
Сільське населення 33413 33269 33245
Млинівський район 38858 38568 38319
Міське населення 8452 8469 8481
смт Млинів 8452 8469 8481
Сільське населення 30406 30099 29838
Острозький район 29242 29103 28999
Сільське населення 29242 29103 28999
Радивилівський район 38055 37806 37609
Міське населення 10479 10487 10501
м. Радивилів 10479 10487 10501
Сільське населення 27576 27319 27108
Рівненський район 88521 88938 89090
Міське населення 19766 19786 19798
смт Квасилів 8046 8117 8147
смт Клевань 7700 7708 7730
смт Оржів 4020 3961 3921
Сільське населення 68755 69152 69292
Рокитнівський район 52887 53267 53687
Міське населення 9227 9187 9160
смт Рокитне 6866 6825 6801
смт Томашгород 2361 2362 2359
Сільське населення 43660 44080 44527
Сарненський район 99672 100135 100892
Міське населення 37266 37255 37469
м. Сарни 28609 28604 28744
смт Клесів 4541 4543 4579
смт Степань 4116 4108 4146
Сільське населення 62406 62880 63423
______________________________________________________________________________
Чисельність наявного населення України на 1 січня 2012 року
Державна служба статистики України 91
3. ЧИСЕЛЬНІСТЬ НАЯВНОГО НАСЕЛЕННЯ НА 1 СІЧНЯ
______________________________________________________________________________
(осіб)
2010 1 2011 1 2012
